column,value,count
lead_time,295,6
lead_time,260,6
lead_time,272,6
lead_time,291,6
lead_time,358,6
lead_time,310,6
lead_time,476,6
lead_time,322,6
lead_time,252,6
lead_time,391,6
lead_time,267,6
lead_time,325,6
lead_time,234,6
lead_time,242,6
lead_time,321,6
lead_time,377,6
lead_time,350,6
lead_time,339,6
lead_time,216,6
lead_time,235,6
lead_time,307,6
lead_time,359,5
lead_time,368,5
lead_time,393,5
lead_time,284,5
lead_time,396,5
lead_time,294,5
lead_time,383,5
lead_time,418,5
lead_time,395,5
lead_time,268,5
lead_time,451,5
lead_time,326,5
lead_time,468,5
lead_time,355,5
lead_time,250,5
lead_time,461,4
lead_time,444,4
lead_time,388,4
lead_time,249,4
lead_time,443,4
lead_time,261,4
lead_time,330,4
lead_time,298,4
lead_time,297,4
lead_time,352,4
lead_time,255,4
lead_time,318,4
lead_time,379,4
lead_time,433,4
lead_time,290,4
lead_time,378,4
lead_time,559,4
lead_time,475,4
lead_time,231,4
lead_time,209,4
lead_time,594,3
lead_time,385,3
lead_time,344,3
lead_time,482,3
lead_time,626,3
lead_time,542,3
lead_time,367,3
lead_time,248,3
lead_time,280,3
lead_time,343,3
lead_time,299,3
lead_time,349,3
lead_time,412,3
lead_time,524,3
lead_time,363,3
lead_time,348,3
lead_time,479,3
lead_time,353,3
lead_time,345,3
lead_time,365,3
lead_time,507,2
lead_time,384,2
lead_time,496,2
lead_time,340,2
lead_time,331,2
lead_time,398,2
lead_time,306,2
lead_time,332,2
lead_time,373,2
lead_time,462,2
lead_time,334,2
lead_time,357,2
lead_time,397,2
lead_time,437,2
lead_time,580,2
lead_time,454,2
lead_time,464,2
lead_time,356,2
lead_time,285,2
lead_time,573,2
lead_time,328,2
lead_time,467,2
lead_time,450,2
lead_time,447,2
lead_time,426,2
lead_time,319,2
lead_time,329,2
lead_time,434,2
lead_time,503,2
lead_time,419,2
lead_time,347,2
lead_time,601,1
lead_time,341,1
lead_time,737,1
lead_time,381,1
lead_time,338,1
lead_time,545,1
lead_time,394,1
lead_time,422,1
lead_time,458,1
lead_time,478,1
lead_time,605,1
lead_time,408,1
lead_time,303,1
lead_time,566,1
lead_time,489,1
lead_time,517,1
lead_time,531,1
lead_time,429,1
lead_time,448,1
lead_time,615,1
lead_time,465,1
lead_time,518,1
lead_time,440,1
arrival_date_week_number,33,294
arrival_date_week_number,34,262
arrival_date_week_number,32,253
arrival_date_week_number,30,253
arrival_date_week_number,21,251
arrival_date_week_number,28,248
arrival_date_week_number,42,239
arrival_date_week_number,15,237
arrival_date_week_number,29,233
arrival_date_week_number,38,231
arrival_date_week_number,17,231
arrival_date_week_number,39,227
arrival_date_week_number,18,225
arrival_date_week_number,20,223
arrival_date_week_number,27,222
arrival_date_week_number,19,211
arrival_date_week_number,24,205
arrival_date_week_number,14,205
arrival_date_week_number,22,204
arrival_date_week_number,40,200
arrival_date_week_number,13,199
arrival_date_week_number,25,197
arrival_date_week_number,16,197
arrival_date_week_number,31,196
arrival_date_week_number,41,195
arrival_date_week_number,26,193
arrival_date_week_number,8,193
arrival_date_week_number,43,190
arrival_date_week_number,37,190
arrival_date_week_number,23,189
arrival_date_week_number,10,188
arrival_date_week_number,35,187
arrival_date_week_number,11,176
arrival_date_week_number,9,171
arrival_date_week_number,44,165
arrival_date_week_number,7,164
arrival_date_week_number,53,160
arrival_date_week_number,12,160
arrival_date_week_number,45,159
arrival_date_week_number,46,152
arrival_date_week_number,49,145
arrival_date_week_number,48,134
arrival_date_week_number,36,132
arrival_date_week_number,47,131
arrival_date_week_number,50,124
arrival_date_week_number,6,123
arrival_date_week_number,3,118
arrival_date_week_number,4,111
arrival_date_week_number,5,109
arrival_date_week_number,52,98
arrival_date_week_number,2,97
arrival_date_week_number,1,86
arrival_date_week_number,51,83
stays_in_weekend_nights,0,4300
stays_in_weekend_nights,2,2715
stays_in_weekend_nights,1,2487
stays_in_weekend_nights,4,128
stays_in_weekend_nights,3,115
stays_in_weekend_nights,6,9
stays_in_weekend_nights,8,3
stays_in_weekend_nights,7,3
stays_in_weekend_nights,5,3
stays_in_weekend_nights,9,2
stays_in_weekend_nights,12,1
stays_in_week_nights,2,2720
stays_in_week_nights,1,2574
stays_in_week_nights,3,1766
stays_in_week_nights,5,920
stays_in_week_nights,4,775
stays_in_week_nights,0,645
stays_in_week_nights,6,95
stays_in_week_nights,7,89
stays_in_week_nights,10,77
stays_in_week_nights,8,53
stays_in_week_nights,9,21
stays_in_week_nights,11,6
stays_in_week_nights,19,6
stays_in_week_nights,15,4
stays_in_week_nights,13,4
stays_in_week_nights,14,3
stays_in_week_nights,12,2
stays_in_week_nights,17,1
stays_in_week_nights,30,1
stays_in_week_nights,16,1
stays_in_week_nights,25,1
stays_in_week_nights,20,1
stays_in_week_nights,22,1
adults,2,7428
adults,1,1860
adults,3,474
adults,4,4
children,0.0,8988
children,1.0,428
children,2.0,340
children,3.0,10
babies,0,9691
babies,1,74
babies,2,1
meal,0,7542
meal,2,1224
meal,3,842
meal,4,93
meal,1,65
country,87,3955
country,40,982
country,39,857
country,36,701
country,30,588
country,54,317
country,50,253
country,107,197
country,17,183
country,10,183
country,79,182
country,19,150
country,23,121
country,9,112
country,21,101
country,98,99
country,85,77
country,53,56
country,80,48
country,90,46
country,89,44
country,32,37
country,38,34
country,8,28
country,66,25
country,0,23
country,69,21
country,49,19
country,102,19
country,29,17
country,47,16
country,4,16
country,46,15
country,58,13
country,60,10
country,110,9
country,44,9
country,81,9
country,13,8
country,100,8
country,94,7
country,37,7
country,20,7
country,33,6
country,28,6
country,105,6
country,51,6
country,65,6
country,35,6
country,52,5
country,72,5
country,92,5
country,103,4
country,75,4
country,24,4
country,84,4
country,106,4
country,67,3
country,15,3
country,48,3
country,109,3
country,62,3
country,3,3
country,14,3
country,25,3
country,93,3
country,83,2
country,57,2
country,78,2
country,45,2
country,41,2
country,96,2
country,27,2
country,97,2
country,42,2
country,68,2
country,61,2
country,5,2
country,101,2
country,77,2
country,43,1
country,91,1
country,82,1
country,104,1
country,26,1
country,59,1
country,1,1
country,95,1
country,74,1
country,18,1
country,56,1
country,16,1
country,108,1
country,7,1
country,73,1
country,70,1
country,88,1
country,71,1
country,55,1
country,86,1
country,12,1
country,6,1
country,11,1
country,76,1
country,64,1
country,31,1
country,34,1
country,2,1
country,22,1
country,63,1
country,99,1
market_segment,6,4614
market_segment,5,1980
market_segment,4,1653
market_segment,3,1036
market_segment,2,396
market_segment,1,65
market_segment,0,22
distribution_channel,3,8019
distribution_channel,1,1196
distribution_channel,0,529
distribution_channel,2,22
is_repeated_guest,0,9464
is_repeated_guest,1,302
previous_cancellations,0,9235
previous_cancellations,1,494
previous_cancellations,2,8
previous_cancellations,3,6
previous_cancellations,26,5
previous_cancellations,24,5
previous_cancellations,25,4
previous_cancellations,11,2
previous_cancellations,4,2
previous_cancellations,13,2
previous_cancellations,6,2
previous_cancellations,19,1
previous_bookings_not_canceled,0,9485
previous_bookings_not_canceled,1,113
previous_bookings_not_canceled,2,42
previous_bookings_not_canceled,3,35
previous_bookings_not_canceled,5,15
previous_bookings_not_canceled,6,11
previous_bookings_not_canceled,4,11
previous_bookings_not_canceled,9,7
previous_bookings_not_canceled,7,5
previous_bookings_not_canceled,11,5
previous_bookings_not_canceled,13,4
previous_bookings_not_canceled,8,4
previous_bookings_not_canceled,14,4
previous_bookings_not_canceled,10,3
previous_bookings_not_canceled,24,3
previous_bookings_not_canceled,19,3
previous_bookings_not_canceled,15,2
previous_bookings_not_canceled,12,2
previous_bookings_not_canceled,27,2
previous_bookings_not_canceled,31,1
previous_bookings_not_canceled,16,1
previous_bookings_not_canceled,32,1
previous_bookings_not_canceled,29,1
previous_bookings_not_canceled,18,1
previous_bookings_not_canceled,72,1
previous_bookings_not_canceled,23,1
previous_bookings_not_canceled,20,1
previous_bookings_not_canceled,22,1
previous_bookings_not_canceled,42,1
