column,value,count
lead_time,242,52
lead_time,433,52
lead_time,325,51
lead_time,332,50
lead_time,298,49
lead_time,318,49
lead_time,326,47
lead_time,462,46
lead_time,303,45
lead_time,359,44
lead_time,372,44
lead_time,293,44
lead_time,299,44
lead_time,310,43
lead_time,338,43
lead_time,341,42
lead_time,355,40
lead_time,444,40
lead_time,368,40
lead_time,437,40
lead_time,443,37
lead_time,343,36
lead_time,348,35
lead_time,353,35
lead_time,319,35
lead_time,329,34
lead_time,306,34
lead_time,479,33
lead_time,454,33
lead_time,398,33
lead_time,440,32
lead_time,475,32
lead_time,412,32
lead_time,419,32
lead_time,426,32
lead_time,461,32
lead_time,284,32
lead_time,447,32
lead_time,465,31
lead_time,352,31
lead_time,356,31
lead_time,605,30
lead_time,626,30
lead_time,422,29
lead_time,407,29
lead_time,464,29
lead_time,385,29
lead_time,373,29
lead_time,363,28
lead_time,360,27
lead_time,504,26
lead_time,434,26
lead_time,476,26
lead_time,448,26
lead_time,518,26
lead_time,384,25
lead_time,409,25
lead_time,367,25
lead_time,411,24
lead_time,542,23
lead_time,374,21
lead_time,324,20
lead_time,388,20
lead_time,378,19
lead_time,340,19
lead_time,357,18
lead_time,559,17
lead_time,496,17
lead_time,482,17
lead_time,594,17
lead_time,601,17
lead_time,629,17
lead_time,622,17
lead_time,608,17
lead_time,615,17
lead_time,503,17
lead_time,552,17
lead_time,538,17
lead_time,531,17
lead_time,510,17
lead_time,545,17
lead_time,517,17
lead_time,524,17
lead_time,587,17
lead_time,489,17
lead_time,566,17
lead_time,573,17
lead_time,580,17
lead_time,397,17
lead_time,331,16
lead_time,394,15
lead_time,429,15
lead_time,345,14
lead_time,478,13
lead_time,347,12
lead_time,450,11
lead_time,408,11
lead_time,410,10
lead_time,493,10
lead_time,361,10
lead_time,521,10
lead_time,467,10
lead_time,507,10
lead_time,490,9
lead_time,354,9
lead_time,406,6
lead_time,471,6
lead_time,381,4
lead_time,390,4
lead_time,460,3
lead_time,445,3
lead_time,389,3
lead_time,376,3
lead_time,366,3
lead_time,403,2
lead_time,362,2
lead_time,375,2
lead_time,399,2
lead_time,382,2
lead_time,737,1
lead_time,709,1
lead_time,463,1
lead_time,380,1
lead_time,387,1
lead_time,424,1
lead_time,400,1
lead_time,370,1
lead_time,371,1
lead_time,532,1
lead_time,435,1
lead_time,458,1
arrival_date_week_number,33,3559
arrival_date_week_number,30,3066
arrival_date_week_number,32,3030
arrival_date_week_number,34,3025
arrival_date_week_number,18,2904
arrival_date_week_number,21,2837
arrival_date_week_number,28,2826
arrival_date_week_number,17,2800
arrival_date_week_number,20,2777
arrival_date_week_number,29,2753
arrival_date_week_number,42,2724
arrival_date_week_number,31,2719
arrival_date_week_number,41,2685
arrival_date_week_number,15,2663
arrival_date_week_number,25,2653
arrival_date_week_number,38,2651
arrival_date_week_number,27,2645
arrival_date_week_number,23,2609
arrival_date_week_number,35,2578
arrival_date_week_number,39,2566
arrival_date_week_number,22,2544
arrival_date_week_number,24,2489
arrival_date_week_number,13,2399
arrival_date_week_number,16,2397
arrival_date_week_number,19,2394
arrival_date_week_number,40,2390
arrival_date_week_number,26,2385
arrival_date_week_number,43,2335
arrival_date_week_number,44,2246
arrival_date_week_number,14,2244
arrival_date_week_number,37,2215
arrival_date_week_number,8,2197
arrival_date_week_number,36,2137
arrival_date_week_number,10,2134
arrival_date_week_number,9,2092
arrival_date_week_number,7,2083
arrival_date_week_number,11,2054
arrival_date_week_number,12,2052
arrival_date_week_number,45,1928
arrival_date_week_number,53,1798
arrival_date_week_number,49,1766
arrival_date_week_number,47,1663
arrival_date_week_number,46,1559
arrival_date_week_number,48,1486
arrival_date_week_number,50,1484
arrival_date_week_number,6,1481
arrival_date_week_number,4,1465
arrival_date_week_number,5,1373
arrival_date_week_number,3,1292
arrival_date_week_number,2,1206
arrival_date_week_number,52,1171
arrival_date_week_number,1,1038
arrival_date_week_number,51,912
stays_in_weekend_nights,0,51491
stays_in_weekend_nights,2,33115
stays_in_weekend_nights,1,30463
stays_in_weekend_nights,4,1834
stays_in_weekend_nights,3,1244
stays_in_weekend_nights,6,152
stays_in_weekend_nights,5,76
stays_in_weekend_nights,8,58
stays_in_weekend_nights,7,19
stays_in_weekend_nights,9,10
stays_in_weekend_nights,10,7
stays_in_weekend_nights,12,5
stays_in_weekend_nights,13,2
stays_in_weekend_nights,16,2
stays_in_weekend_nights,14,1
stays_in_week_nights,2,33500
stays_in_week_nights,1,30020
stays_in_week_nights,3,22122
stays_in_week_nights,5,11020
stays_in_week_nights,4,9506
stays_in_week_nights,0,7523
stays_in_week_nights,6,1481
stays_in_week_nights,7,1020
stays_in_week_nights,10,1018
stays_in_week_nights,8,651
stays_in_week_nights,9,226
stays_in_week_nights,15,85
stays_in_week_nights,11,55
stays_in_week_nights,19,43
stays_in_week_nights,12,42
stays_in_week_nights,20,39
stays_in_week_nights,14,35
stays_in_week_nights,13,27
stays_in_week_nights,21,15
stays_in_week_nights,16,15
stays_in_week_nights,22,7
stays_in_week_nights,18,6
stays_in_week_nights,25,6
stays_in_week_nights,17,4
stays_in_week_nights,30,4
stays_in_week_nights,24,3
stays_in_week_nights,40,2
stays_in_week_nights,33,1
stays_in_week_nights,32,1
stays_in_week_nights,26,1
stays_in_week_nights,34,1
adults,2,89473
adults,1,22732
adults,3,6196
adults,4,62
adults,26,5
adults,5,2
adults,27,2
adults,20,2
adults,40,1
adults,55,1
adults,50,1
adults,6,1
adults,10,1
children,0.0,110127
children,1.0,4848
children,2.0,3438
children,3.0,65
children,10.0,1
babies,0,117568
babies,1,895
babies,2,14
babies,10,1
babies,9,1
meal,BB,91566
meal,HB,14410
meal,SC,10542
meal,Undefined,1165
meal,FB,796
country,PRT,48428
country,GBR,12101
country,FRA,10375
country,ESP,8545
country,DEU,7267
country,ITA,3751
country,IRL,3369
country,BEL,2326
country,BRA,2212
country,NLD,2094
country,USA,2085
country,CHE,1717
country,CN,1279
country,AUT,1260
country,SWE,1017
country,CHN,998
country,POL,913
country,ISR,668
country,RUS,626
country,NOR,606
country,ROU,497
country,FIN,444
country,DNK,430
country,AUS,426
country,AGO,362
country,LUX,285
country,MAR,256
country,TUR,247
country,HUN,228
country,ARG,213
country,JPN,197
country,CZE,171
country,IND,150
country,KOR,132
country,GRC,128
country,DZA,103
country,SRB,101
country,HRV,100
country,MEX,84
country,EST,83
country,IRN,82
country,ZAF,79
country,LTU,77
country,BGR,75
country,NZL,74
country,COL,71
country,UKR,68
country,MOZ,67
country,SVK,65
country,CHL,64
country,THA,58
country,ISL,57
country,SVN,56
country,LVA,55
country,TWN,51
country,CYP,51
country,ARE,50
country,SAU,47
country,PHL,40
country,TUN,39
country,SGP,38
country,IDN,35
country,NGA,34
country,URY,32
country,EGY,31
country,LBN,31
country,HKG,29
country,PER,29
country,MYS,28
country,ECU,27
country,VEN,26
country,BLR,25
country,CPV,24
country,GEO,22
country,JOR,20
country,CRI,19
country,KAZ,19
country,MLT,18
country,GIB,18
country,AZE,17
country,OMN,17
country,MAC,16
country,KWT,16
country,QAT,15
country,DOM,14
country,IRQ,14
country,PAK,14
country,BIH,13
country,ALB,12
country,MDV,12
country,BGD,12
country,PRI,12
country,SEN,11
country,BOL,10
country,CMR,10
country,MKD,10
country,PAN,9
country,TJK,9
country,GNB,9
country,ARM,8
country,JEY,8
country,VNM,8
country,LBY,8
country,CUB,8
country,AND,7
country,LKA,7
country,MUS,7
country,CIV,6
country,JAM,6
country,KEN,6
country,SUR,5
country,BHR,5
country,FRO,5
country,MNE,5
country,CAF,5
country,GHA,4
country,ZWE,4
country,UZB,4
country,BRB,4
country,PRY,4
country,MCO,4
country,GTM,4
country,GAB,4
country,TZA,4
country,TMP,3
country,BEN,3
country,ETH,3
country,GGY,3
country,SYR,3
country,LIE,3
country,LAO,2
country,SLV,2
country,ATA,2
country,SYC,2
country,COM,2
country,ZMB,2
country,UGA,2
country,KNA,2
country,TGO,2
country,MYT,2
country,RWA,2
country,MWI,2
country,STP,2
country,KHM,2
country,IMN,2
country,GLP,2
country,ABW,2
country,BWA,1
country,SMR,1
country,CYM,1
country,PLW,1
country,FJI,1
country,BDI,1
country,VGB,1
country,NIC,1
country,HND,1
country,DJI,1
country,BHS,1
country,NPL,1
country,MDG,1
country,UMI,1
country,MLI,1
country,BFA,1
country,NAM,1
country,MMR,1
country,PYF,1
country,DMA,1
country,LCA,1
country,AIA,1
country,GUY,1
country,ASM,1
country,NCL,1
country,MRT,1
country,KIR,1
country,SDN,1
country,ATF,1
country,SLE,1
market_segment,Online TA,56140
market_segment,Offline TA/TO,24105
market_segment,Groups,19785
market_segment,Direct,12394
market_segment,Corporate,5098
market_segment,Complementary,722
market_segment,Aviation,235
distribution_channel,TA/TO,97399
distribution_channel,Direct,14415
distribution_channel,Corporate,6471
distribution_channel,GDS,193
distribution_channel,Undefined,1
is_repeated_guest,0,114729
is_repeated_guest,1,3750
previous_cancellations,0,112039
previous_cancellations,1,6012
previous_cancellations,2,111
previous_cancellations,3,65
previous_cancellations,24,48
previous_cancellations,11,35
previous_cancellations,4,31
previous_cancellations,26,26
previous_cancellations,25,25
previous_cancellations,6,22
previous_cancellations,5,19
previous_cancellations,19,19
previous_cancellations,14,14
previous_cancellations,13,12
previous_cancellations,21,1
previous_bookings_not_canceled,0,115090
previous_bookings_not_canceled,1,1447
previous_bookings_not_canceled,2,536
previous_bookings_not_canceled,3,301
previous_bookings_not_canceled,4,209
previous_bookings_not_canceled,5,170
previous_bookings_not_canceled,6,109
previous_bookings_not_canceled,7,84
previous_bookings_not_canceled,8,67
previous_bookings_not_canceled,9,56
previous_bookings_not_canceled,10,51
previous_bookings_not_canceled,11,41
previous_bookings_not_canceled,12,37
previous_bookings_not_canceled,13,30
previous_bookings_not_canceled,14,28
previous_bookings_not_canceled,15,21
previous_bookings_not_canceled,16,19
previous_bookings_not_canceled,25,17
previous_bookings_not_canceled,17,15
previous_bookings_not_canceled,19,13
previous_bookings_not_canceled,21,12
previous_bookings_not_canceled,18,12
previous_bookings_not_canceled,20,11
previous_bookings_not_canceled,24,9
previous_bookings_not_canceled,27,9
previous_bookings_not_canceled,22,9
previous_bookings_not_canceled,28,7
previous_bookings_not_canceled,26,7
previous_bookings_not_canceled,23,6
previous_bookings_not_canceled,29,5
previous_bookings_not_canceled,30,4
previous_bookings_not_canceled,31,2
previous_bookings_not_canceled,32,2
previous_bookings_not_canceled,48,2
previous_bookings_not_canceled,58,2
previous_bookings_not_canceled,44,2
previous_bookings_not_canceled,33,1
previous_bookings_not_canceled,37,1
previous_bookings_not_canceled,34,1
previous_bookings_not_canceled,35,1
previous_bookings_not_canceled,36,1
previous_bookings_not_canceled,40,1
previous_bookings_not_canceled,39,1
previous_bookings_not_canceled,38,1
previous_bookings_not_canceled,42,1
previous_bookings_not_canceled,43,1
previous_bookings_not_canceled,45,1
previous_bookings_not_canceled,46,1
previous_bookings_not_canceled,41,1
previous_bookings_not_canceled,49,1
previous_bookings_not_canceled,50,1
previous_bookings_not_canceled,51,1
previous_bookings_not_canceled,52,1
previous_bookings_not_canceled,53,1
previous_bookings_not_canceled,54,1
previous_bookings_not_canceled,55,1
previous_bookings_not_canceled,47,1
previous_bookings_not_canceled,56,1
previous_bookings_not_canceled,57,1
previous_bookings_not_canceled,59,1
previous_bookings_not_canceled,60,1
previous_bookings_not_canceled,61,1
previous_bookings_not_canceled,62,1
previous_bookings_not_canceled,63,1
previous_bookings_not_canceled,64,1
previous_bookings_not_canceled,65,1
previous_bookings_not_canceled,66,1
previous_bookings_not_canceled,67,1
previous_bookings_not_canceled,68,1
previous_bookings_not_canceled,69,1
previous_bookings_not_canceled,70,1
previous_bookings_not_canceled,71,1
previous_bookings_not_canceled,72,1
reserved_room_type,A,85457
reserved_room_type,D,19145
reserved_room_type,E,6476
reserved_room_type,F,2882
reserved_room_type,G,2080
reserved_room_type,C,929
reserved_room_type,B,903
reserved_room_type,H,601
reserved_room_type,L,6
assigned_room_type,A,73784
assigned_room_type,D,25147
assigned_room_type,E,7730
assigned_room_type,F,3729
assigned_room_type,G,2533
assigned_room_type,C,2348
assigned_room_type,B,1968
assigned_room_type,H,708
assigned_room_type,I,344
assigned_room_type,K,187
assigned_room_type,L,1
booking_changes,0,100644
booking_changes,1,12558
booking_changes,2,3755
booking_changes,3,908
booking_changes,4,366
booking_changes,5,113
booking_changes,6,61
booking_changes,7,28
booking_changes,8,14
booking_changes,9,8
booking_changes,10,6
booking_changes,13,5
booking_changes,15,3
booking_changes,14,3
booking_changes,17,2
booking_changes,16,2
booking_changes,12,1
booking_changes,18,1
booking_changes,11,1
deposit_type,No Deposit,103744
deposit_type,Non Refund,14573
deposit_type,Refundable,162
agent,9.0,32121
agent,240.0,14096
agent,1.0,7892
agent,250.0,6516
agent,14.0,6240
agent,7.0,3540
agent,6.0,3303
agent,40.0,2031
agent,241.0,1726
agent,28.0,1666
agent,8.0,1515
agent,37.0,1481
agent,3.0,1355
agent,19.0,1104
agent,273.0,1007
agent,314.0,921
agent,21.0,877
agent,229.0,787
agent,242.0,779
agent,29.0,758
agent,315.0,753
agent,83.0,698
agent,30.0,654
agent,171.0,635
agent,96.0,622
agent,12.0,565
agent,20.0,563
agent,85.0,554
agent,298.0,524
agent,243.0,519
agent,134.0,505
agent,45.0,478
agent,27.0,450
agent,91.0,435
agent,94.0,425
agent,56.0,405
agent,26.0,401
agent,15.0,400
agent,11.0,389
agent,22.0,384
agent,38.0,382
agent,86.0,355
agent,58.0,354
agent,119.0,354
agent,236.0,349
agent,177.0,349
agent,5.0,336
agent,47.0,327
agent,34.0,326
agent,196.0,304
agent,68.0,297
agent,138.0,292
agent,44.0,292
agent,16.0,274
agent,10.0,260
agent,154.0,254
agent,251.0,245
agent,153.0,244
agent,195.0,244
agent,185.0,242
agent,17.0,241
agent,170.0,240
agent,115.0,224
agent,385.0,218
agent,42.0,211
agent,95.0,203
agent,191.0,198
agent,88.0,197
agent,183.0,196
agent,175.0,195
agent,156.0,190
agent,208.0,188
agent,152.0,185
agent,168.0,185
agent,326.0,178
agent,143.0,172
agent,330.0,164
agent,2.0,163
agent,31.0,162
agent,147.0,158
agent,174.0,157
agent,281.0,154
agent,67.0,152
agent,39.0,150
agent,234.0,149
agent,132.0,147
agent,378.0,146
agent,142.0,138
agent,410.0,134
agent,52.0,134
agent,146.0,133
agent,223.0,132
agent,248.0,131
agent,155.0,125
agent,98.0,125
agent,307.0,125
agent,35.0,109
agent,495.0,105
agent,220.0,104
agent,41.0,100
agent,253.0,100
agent,36.0,100
agent,69.0,99
agent,531.0,99
agent,464.0,98
agent,89.0,98
agent,219.0,95
agent,71.0,94
agent,159.0,89
agent,13.0,81
agent,87.0,80
agent,82.0,77
agent,305.0,76
agent,459.0,76
agent,339.0,76
agent,323.0,75
agent,390.0,73
agent,254.0,72
agent,215.0,72
agent,75.0,72
agent,78.0,70
agent,118.0,69
agent,99.0,69
agent,110.0,61
agent,66.0,61
agent,157.0,61
agent,334.0,59
agent,92.0,59
agent,181.0,58
agent,387.0,58
agent,332.0,57
agent,133.0,56
agent,440.0,56
agent,151.0,56
agent,104.0,54
agent,308.0,53
agent,249.0,51
agent,436.0,49
agent,455.0,49
agent,184.0,49
agent,4.0,47
agent,282.0,47
agent,368.0,47
agent,468.0,46
agent,79.0,46
agent,127.0,45
agent,126.0,45
agent,286.0,45
agent,324.0,44
agent,313.0,43
agent,296.0,43
agent,193.0,42
agent,375.0,41
agent,192.0,41
agent,535.0,40
agent,180.0,40
agent,201.0,40
agent,467.0,39
agent,492.0,39
agent,261.0,39
agent,493.0,39
agent,245.0,37
agent,162.0,37
agent,121.0,37
agent,148.0,35
agent,306.0,35
agent,527.0,35
agent,384.0,34
agent,77.0,33
agent,434.0,33
agent,270.0,33
agent,394.0,33
agent,150.0,32
agent,479.0,32
agent,33.0,31
agent,252.0,29
agent,63.0,29
agent,173.0,29
agent,235.0,29
agent,210.0,28
agent,350.0,28
agent,139.0,28
agent,57.0,28
agent,149.0,28
agent,205.0,27
agent,81.0,27
agent,444.0,26
agent,310.0,25
agent,23.0,25
agent,187.0,25
agent,257.0,24
agent,256.0,24
agent,502.0,24
agent,336.0,23
agent,64.0,23
agent,128.0,23
agent,72.0,23
agent,348.0,22
agent,24.0,22
agent,262.0,22
agent,291.0,22
agent,144.0,21
agent,103.0,21
agent,359.0,21
agent,474.0,20
agent,74.0,20
agent,364.0,19
agent,50.0,19
agent,60.0,19
agent,290.0,19
agent,423.0,19
agent,327.0,18
agent,53.0,18
agent,278.0,18
agent,107.0,16
agent,111.0,16
agent,55.0,16
agent,411.0,16
agent,360.0,16
agent,32.0,15
agent,112.0,15
agent,397.0,15
agent,425.0,15
agent,227.0,14
agent,288.0,14
agent,129.0,14
agent,405.0,14
agent,105.0,13
agent,354.0,13
agent,393.0,13
agent,358.0,13
agent,341.0,12
agent,484.0,11
agent,337.0,11
agent,167.0,11
agent,165.0,10
agent,355.0,10
agent,509.0,10
agent,135.0,10
agent,328.0,10
agent,526.0,10
agent,481.0,9
agent,475.0,8
agent,287.0,8
agent,275.0,8
agent,276.0,8
agent,418.0,8
agent,182.0,8
agent,344.0,8
agent,451.0,8
agent,510.0,8
agent,59.0,8
agent,163.0,7
agent,441.0,7
agent,280.0,7
agent,122.0,7
agent,331.0,7
agent,302.0,7
agent,454.0,7
agent,325.0,6
agent,363.0,6
agent,141.0,6
agent,508.0,6
agent,367.0,6
agent,429.0,5
agent,179.0,5
agent,370.0,5
agent,214.0,5
agent,335.0,5
agent,303.0,5
agent,430.0,4
agent,403.0,4
agent,295.0,4
agent,244.0,4
agent,93.0,3
agent,426.0,3
agent,427.0,3
agent,420.0,3
agent,258.0,3
agent,321.0,3
agent,213.0,3
agent,371.0,3
agent,283.0,3
agent,73.0,2
agent,352.0,2
agent,476.0,2
agent,469.0,2
agent,232.0,2
agent,304.0,2
agent,449.0,2
agent,269.0,2
agent,461.0,2
agent,106.0,2
agent,211.0,2
agent,414.0,2
agent,438.0,2
agent,61.0,2
agent,391.0,2
agent,404.0,2
agent,25.0,2
agent,472.0,1
agent,406.0,1
agent,450.0,1
agent,432.0,1
agent,431.0,1
agent,333.0,1
agent,433.0,1
agent,497.0,1
agent,197.0,1
agent,299.0,1
agent,416.0,1
agent,346.0,1
agent,54.0,1
agent,117.0,1
agent,158.0,1
agent,114.0,1
agent,216.0,1
agent,300.0,1
agent,483.0,1
agent,301.0,1
agent,90.0,1
agent,70.0,1
agent,285.0,1
agent,267.0,1
agent,265.0,1
agent,289.0,1
agent,247.0,1
agent,294.0,1
agent,388.0,1
agent,408.0,1
agent,453.0,1
agent,480.0,1
days_in_waiting_list,0,114786
days_in_waiting_list,39,227
days_in_waiting_list,58,164
days_in_waiting_list,44,141
days_in_waiting_list,31,127
days_in_waiting_list,35,96
days_in_waiting_list,46,94
days_in_waiting_list,69,89
days_in_waiting_list,63,83
days_in_waiting_list,50,80
